cycle,ts,dopamine,serotonin,glutamate,gaba,noradrenaline,acetylcholine,histamine,orexin,bdnf,adenosine,endocannabinoid_2ag,cortisol,exploration_bias,plasticity_level,adaptive_threshold,survivors,participated,weakened,effectiveness,reciprocal_gate,allostatic_load
48,1783770773,0.350832,0.337847,0.689272,0.492692,0.847753,0.508051,0.4399,0.8438,0.9012,0.600181,1e-06,0.1423778204109197,0.8176028543181444,0.9327205205657925,0.8667739868469244,15.0,94.0,79.0,-0.0003797412473819798,0.33968192784880874,0.08701533413905825
49,1783770777,0.352524,0.338777,0.689009,0.492661,0.847756,0.507925,0.4399,0.8436,0.9088,0.600141,1e-06,0.1423778204109197,0.8171252004808719,0.9323610303518792,0.8774935704043341,15.0,89.0,74.0,0.0015627634692024822,0.339737669494166,0.08701533413905825
50,1783770781,0.350249,0.337526,0.68937,0.492706,0.847758,0.508084,0.4399,0.8435,0.9115,0.600188,1e-06,0.1423778204109197,0.81778098274288,0.9328516258595662,0.8593151129361706,10.0,93.0,83.0,-0.0020924376030235156,0.33969322864591617,0.08701533413905825
51,1783770785,0.352126,0.338558,0.689078,0.492672,0.847761,0.507945,0.4399,0.8433,0.9141,0.599939,1e-06,0.1423778204109197,0.8172505408536097,0.9324525618115038,0.8510285539603153,14.0,89.0,75.0,0.0017325620649758593,0.33998884005214136,0.08701533413905825
52,1783770789,0.352912,0.33899,0.688957,0.492657,0.847763,0.507885,0.44,0.8432,0.9153,0.599729,1e-06,0.1423778204109197,0.8170316726123358,0.9322871864689477,0.8389842619708935,13.0,92.0,79.0,0.0007275701477403903,0.34026926803649893,0.08701533413905825
53,1783770793,0.352839,0.33895,0.688972,0.49266,0.847766,0.507886,0.44,0.8431,0.9169,0.599845,0.336485,0.1423778204109197,0.817058182479384,0.9323058530901486,0.8478645110105264,13.0,94.0,81.0,-6.423347066745181e-05,0.34018168762554923,0.08701533413905825
54,1783770798,0.352518,0.338774,0.689026,0.492667,0.847768,0.507905,0.44,0.8429,0.9183,0.599964,0.201891,0.1423778204109197,0.817155586076221,0.9323776983054004,0.8599419405724135,13.0,92.0,79.0,-0.00029307072699752824,0.34006116133788433,0.08701533413905825
55,1783770802,0.35157,0.338252,0.689178,0.492686,0.847771,0.507968,0.44,0.8428,0.9169,0.599999,0.121135,0.1423778204109197,0.8174320178522142,0.9325838228670904,0.8692689687014928,11.0,94.0,83.0,-0.0008705156501233333,0.34001879293651904,0.08701533413905825
56,1783770806,0.369916,0.348343,0.686298,0.492341,0.847773,0.506654,0.4401,0.8426,0.9155,0.599289,0.072681,0.1423778204109197,0.8121957473069493,0.9286554288164166,0.8549634973983959,12.0,90.0,78.0,0.01699477713481585,0.34085143505556337,0.08701533413905825
57,1783770810,0.352617,0.338828,0.689018,0.492668,0.847776,0.507885,0.4402,0.8425,0.9156,0.599636,0.043609,0.1423778204109197,0.8171438494347649,0.9323653223167692,0.8457658147310569,13.0,86.0,73.0,-0.015941961313751387,0.34052782453889435,0.08701533413905825
58,1783770814,0.350431,0.337626,0.689365,0.492711,0.847778,0.508037,0.4402,0.8424,0.9169,0.599696,0.026165,0.1423778204109197,0.817773837724839,0.9328366384037772,0.8786948830539225,12.0,91.0,79.0,-0.0020105470863023846,0.340473397177226,0.08701533413905825
59,1783770819,0.352713,0.338881,0.689009,0.492668,0.847781,0.50787,0.4402,0.8422,0.9194,0.5994,0.015699,0.1423778204109197,0.8171273879390519,0.9323506338186873,0.8610950763890383,14.0,93.0,79.0,0.0021059607577220887,0.34082657802405814,0.08701533413905825
60,1783770823,0.354972,0.340124,0.688657,0.492627,0.847783,0.507705,0.4403,0.8421,0.9242,0.599301,0.009419,0.1423778204109197,0.8164872431120759,0.9318693657584115,0.846122563874766,14.0,91.0,77.0,0.002086796464278725,0.3409834246168407,0.08701533413905825
61,1783770828,0.356038,0.34071,0.688492,0.492608,0.847785,0.507625,0.4403,0.842,0.9241,0.599448,0.005651,0.1423778204109197,0.8161879663847865,0.9316437565005692,0.8667639615148548,16.0,90.0,74.0,0.0009865820200954255,0.3408504572317885,0.08701533413905825
62,1783770832,0.353228,0.339165,0.688937,0.492662,0.847788,0.507822,0.4403,0.8418,0.9234,0.599672,0.003391,0.1423778204109197,0.8169961038376815,0.932248715528533,0.8359863116507282,12.0,93.0,81.0,-0.002587479714095905,0.3405959600622519,0.08701533413905825
63,1783770836,0.351919,0.338445,0.689145,0.492688,0.84779,0.507911,0.4402,0.8417,0.9219,0.599709,0.002035,0.1423778204109197,0.8173754379354038,0.9325320796148032,0.8655870603150463,15.0,94.0,79.0,-0.0012036045335683913,0.3405309520435762,0.08701533413905825
64,1783770840,0.362492,0.34426,0.687487,0.49249,0.847792,0.507152,0.4403,0.8415,0.9174,0.599198,0.001221,0.1423778204109197,0.8143598689712602,0.9302692739043826,0.8528947700113985,17.0,95.0,78.0,0.009774935654020017,0.3411143264305033,0.08701533413905825
65,1783770845,0.350061,0.337422,0.689443,0.492724,0.847795,0.508036,0.4403,0.8414,0.9167,0.599493,0.000733,0.1423778204109197,0.8179169003450849,0.9329359258731539,0.8286216839007554,14.0,93.0,79.0,-0.011447285251344596,0.3408168885013522,0.08701533413905825
66,1783770849,0.349108,0.336898,0.689596,0.492744,0.847797,0.5081,0.4403,0.8413,0.9177,0.599342,0.00044,0.1423778204109197,0.8181942435077474,0.9331428190362481,0.866983067818899,14.0,90.0,76.0,-0.0008743452118829333,0.34099336195094654,0.08701533413905825
67,1783770853,0.348587,0.336612,0.68968,0.492755,0.847799,0.508134,0.4403,0.8411,0.9173,0.599611,0.000264,0.1423778204109197,0.8183483702390152,0.9332573071564229,0.8513517417864623,12.0,91.0,79.0,-0.00047729166931095065,0.34069377336566253,0.08701533413905825
68,1783770858,0.350003,0.337391,0.68946,0.492729,0.847802,0.508029,0.4402,0.841,0.9137,0.599823,0.000158,0.1423778204109197,0.8179488357587302,0.9329565565774309,0.8430406128733361,19.0,91.0,72.0,0.0013072205645666987,0.34042220135596374,0.08701533413905825
69,1783770865,0.352027,0.338504,0.689145,0.492692,0.847804,0.50788,0.4402,0.8408,0.9106,0.599904,9.5e-05,0.1423778204109197,0.8173757773379937,0.9325256701823929,0.8502400431542523,13.0,94.0,81.0,0.001867535510211782,0.3402849209491746,0.08701533413905825
70,1783770872,0.351223,0.338061,0.689274,0.492708,0.847806,0.507934,0.4401,0.8407,0.9084,0.600055,5.7e-05,0.1423778204109197,0.8176105377436784,0.9327006549771666,0.8425283500773366,14.0,92.0,78.0,-0.000738047287191122,0.3400673446644222,0.08701533413905825
71,1783770879,0.353705,0.339427,0.688886,0.492662,0.847808,0.507753,0.4401,0.8405,0.9055,0.600084,3.4e-05,0.1423778204109197,0.8169063316273875,0.9321714218820515,0.8464156714386182,12.0,95.0,83.0,0.0022913794240910935,0.33998652126509554,0.08701533413905825
72,1783770885,0.351747,0.33835,0.689197,0.4927,0.847811,0.507889,0.44,0.8403,0.9048,0.60021,2e-05,0.1423778204109197,0.8174707271921862,0.9325936469818238,0.8743729945769136,16.0,90.0,74.0,-0.001801559125279224,0.3398015648855668,0.08701533413905825
73,1783770892,0.35165,0.338297,0.689215,0.492703,0.847813,0.507892,0.4399,0.8402,0.9041,0.600398,1.2e-05,0.1423778204109197,0.8175032961371136,0.9326170089841049,0.8607165477510854,14.0,88.0,74.0,-8.63984480996116e-05,0.3395384554198968,0.08701533413905825
74,1783770899,0.352742,0.338897,0.689046,0.492683,0.847815,0.507811,0.4399,0.84,0.9023,0.600285,7e-06,0.1423778204109197,0.8171964337683576,0.9323858043027293,0.8546528076706494,11.0,103.0,92.0,0.0010085137562985374,0.33961921879392776,0.08701533413905825
75,1783770906,0.353949,0.339561,0.688859,0.492662,0.847817,0.507721,0.4399,0.8399,0.8988,0.599981,4e-06,0.1423778204109197,0.8168563575548728,0.9321296959744454,0.8694641298485226,11.0,93.0,82.0,0.0011159238398397288,0.33995537315574936,0.08701533413905825
76,1783770913,0.350654,0.337748,0.689379,0.492725,0.847819,0.507953,0.4399,0.8397,0.8957,0.600161,2e-06,0.1423778204109197,0.8178027180728861,0.9328384218672798,0.8674883611864799,16.0,93.0,77.0,-0.003033047368388285,0.3397654812090246,0.08701533413905825
77,1783770920,0.352703,0.338875,0.68906,0.492687,0.847822,0.507803,0.4399,0.8396,0.8924,0.600061,1e-06,0.1423778204109197,0.8172221838948506,0.932401983347241,0.8480999533274856,11.0,93.0,82.0,0.0018910532324018267,0.33987655684631723,0.08701533413905825
78,1783770927,0.355156,0.340225,0.688676,0.492642,0.847824,0.507624,0.4399,0.8394,0.8964,0.600137,1e-06,0.1423778204109197,0.8165258676450533,0.9318787148200119,0.85669123185527,13.0,92.0,79.0,0.002266014505721486,0.339794629792422,0.08701533413905825
79,1783770934,0.353704,0.339426,0.688907,0.492669,0.847826,0.507724,0.4399,0.8393,0.8985,0.600261,1e-06,0.1423778204109197,0.8169457344996793,0.9321925901059857,0.8544964097603908,15.0,88.0,73.0,-0.0013369697678549096,0.3396441608546954,0.08701533413905825
80,1783770941,0.350397,0.337607,0.689429,0.492733,0.847828,0.507957,0.4398,0.8391,0.8985,0.600557,1e-06,0.1423778204109197,0.817895084631315,0.9329035842736292,0.8475553380670057,11.0,96.0,85.0,-0.0030429295866301023,0.33927635259828676,0.08701533413905825
81,1783770948,0.351996,0.338486,0.689181,0.492704,0.84783,0.507839,0.4398,0.839,0.8985,0.60055,1e-06,0.1423778204109197,0.8174431871534429,0.9325636490978446,0.8604602463707998,15.0,99.0,84.0,0.001475314575917071,0.33923434681880066,0.08701533413905825
82,1783770955,0.353223,0.339161,0.68899,0.492681,0.847832,0.507748,0.4397,0.8388,0.9001,0.600652,1e-06,0.1423778204109197,0.8170972022316119,0.9323031546433336,0.8495884964890648,13.0,93.0,80.0,0.001133971336981333,0.3390796827731605,0.08701533413905825
83,1783770962,0.352426,0.338723,0.689118,0.492698,0.847834,0.507801,0.4397,0.8387,0.9006,0.600716,1e-06,0.1423778204109197,0.8173293881946,0.9324762945979583,0.8667473229957483,15.0,94.0,79.0,-0.000731501149479827,0.3389672979412123,0.08701533413905825
84,1783770969,0.35351,0.339319,0.68895,0.492678,0.847836,0.507721,0.4397,0.8385,0.9,0.600371,1e-06,0.1423778204109197,0.817024380034472,0.9322465451477727,0.8423198030710655,17.0,92.0,75.0,0.0010016186270042312,0.33934052855884855,0.08701533413905825
